Player,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,PTS,Year,Pts Won,season_date
Darren Tillis,1.5,3.5,0.425,0.0,0.0,0.0,1.5,3.5,0.429,0.425,0.6,0.9,0.651,3.6,1984,0.0,1984-01-01
Tim Breaux,1.1,2.9,0.372,0.1,0.6,0.24,0.9,2.3,0.406,0.397,0.8,1.2,0.653,3.0,1995,0.0,1995-01-01
Chucky Brown,2.6,4.2,0.603,0.0,0.1,0.333,2.5,4.2,0.608,0.606,0.9,1.5,0.613,6.1,1995,0.0,1995-01-01
Adrian Caldwell,0.1,0.6,0.25,0.0,0.0,0.0,0.1,0.6,0.25,0.25,0.4,0.9,0.5,0.7,1995,0.0,1995-01-01
Sam Cassell,3.1,7.2,0.427,0.8,2.3,0.33,2.3,4.9,0.473,0.48,2.6,3.1,0.843,9.5,1995,0.0,1995-01-01
Pete Chilcutt,2.1,4.8,0.445,0.5,1.3,0.407,1.6,3.6,0.459,0.498,0.5,0.6,0.738,5.3,1995,0.0,1995-01-01
Clyde Drexler,7.5,16.3,0.461,1.9,5.4,0.36,5.6,10.9,0.511,0.521,4.8,5.8,0.824,21.8,1995,3.0,1995-01-01
Mario Elie,3.0,6.0,0.499,1.0,2.5,0.398,2.0,3.5,0.57,0.581,1.8,2.1,0.842,8.8,1995,0.0,1995-01-01
Carl Herrera,2.8,5.4,0.523,0.0,0.0,0.0,2.8,5.3,0.526,0.523,1.2,1.9,0.624,6.8,1995,0.0,1995-01-01
Robert Horry,3.8,8.4,0.447,1.3,3.5,0.379,2.4,4.8,0.497,0.527,1.3,1.8,0.761,10.2,1995,0.0,1995-01-01
Charles Jones,0.3,1.0,0.333,0.0,0.0,0.0,0.3,1.0,0.333,0.333,0.3,0.7,0.5,1.0,1995,0.0,1995-01-01
Charles Jones,0.3,1.0,0.333,0.0,0.0,0.0,0.3,1.0,0.333,0.333,0.3,0.7,0.5,1.0,1995,0.0,1995-01-01
Charles Jones,0.3,1.0,0.333,0.0,0.0,0.0,0.3,1.0,0.333,0.333,0.3,0.7,0.5,1.0,1995,0.0,1995-01-01
Vernon Maxwell,4.8,12.1,0.394,2.2,6.9,0.324,2.5,5.3,0.485,0.486,1.5,2.3,0.688,13.3,1995,0.0,1995-01-01
Tracy Murray,1.8,4.3,0.408,0.6,1.6,0.407,1.1,2.7,0.408,0.483,0.6,0.8,0.786,4.8,1995,0.0,1995-01-01
Hakeem Olajuwon,11.1,21.5,0.517,0.0,0.2,0.188,11.0,21.2,0.52,0.517,5.6,7.5,0.756,27.8,1995,147.0,1995-01-01
Kenny Smith,3.5,7.3,0.484,1.8,4.1,0.429,1.8,3.2,0.553,0.604,1.6,1.8,0.851,10.4,1995,0.0,1995-01-01
Žan Tabak,0.6,1.4,0.453,0.0,0.0,0.0,0.6,1.4,0.462,0.453,0.7,1.2,0.614,2.0,1995,0.0,1995-01-01
J.R. Bremer,1.2,4.4,0.272,0.5,2.1,0.257,0.7,2.3,0.286,0.332,0.4,0.6,0.65,3.3,2004,0.0,2004-01-01
Brian Cardinal,2.9,6.1,0.472,0.7,1.6,0.444,2.2,4.5,0.482,0.531,3.1,3.6,0.878,9.6,2004,0.0,2004-01-01
Calbert Cheaney,3.5,7.3,0.481,0.0,0.1,0.0,3.5,7.2,0.489,0.481,0.6,1.0,0.61,7.6,2004,0.0,2004-01-01
Speedy Claxton,3.7,8.7,0.427,0.1,0.4,0.182,3.7,8.4,0.438,0.431,3.0,3.7,0.813,10.6,2004,0.0,2004-01-01
Erick Dampier,4.7,8.8,0.535,0.0,0.0,0.0,4.7,8.8,0.537,0.535,2.9,4.5,0.654,12.3,2004,0.0,2004-01-01
Mike Dunleavy,4.3,9.6,0.449,1.3,3.4,0.37,3.1,6.2,0.491,0.514,1.8,2.5,0.741,11.7,2004,0.0,2004-01-01
Mike Dunleavy,4.3,9.6,0.449,1.3,3.4,0.37,3.1,6.2,0.491,0.514,1.8,2.5,0.741,11.7,2004,0.0,2004-01-01
Adonal Foyle,1.3,3.0,0.454,0.0,0.0,0.0,1.3,3.0,0.454,0.454,0.4,0.8,0.543,3.1,2004,0.0,2004-01-01
Avery Johnson,1.7,4.3,0.402,0.0,0.1,0.0,1.7,4.3,0.408,0.402,1.1,1.7,0.667,4.6,2004,0.0,2004-01-01
Popeye Jones,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2004,0.0,2004-01-01
Rusty Larue,0.3,0.8,0.333,0.3,0.3,1.0,0.0,0.5,0.0,0.5,0.3,0.5,0.5,1.0,2004,0.0,2004-01-01
Sean Lampley,1.3,2.0,0.65,0.0,0.0,0.0,1.3,2.0,0.65,0.65,0.8,1.2,0.667,3.4,2004,0.0,2004-01-01
Troy Murphy,3.8,8.7,0.44,0.2,0.6,0.294,3.6,8.1,0.451,0.451,2.1,2.9,0.75,10.0,2004,0.0,2004-01-01
Cherokee Parks,0.3,0.8,0.4,0.0,0.0,0.0,0.3,0.8,0.4,0.4,0.3,0.5,0.667,1.0,2004,0.0,2004-01-01
Mickaël Piétrus,1.8,4.4,0.416,0.7,2.0,0.333,1.2,2.4,0.484,0.491,1.0,1.4,0.693,5.3,2004,0.0,2004-01-01
Jason Richardson,7.2,16.5,0.438,1.0,3.5,0.282,6.2,13.0,0.481,0.468,3.3,4.8,0.684,18.7,2004,0.0,2004-01-01
Clifford Robinson,4.5,11.5,0.387,1.4,3.8,0.357,3.1,7.7,0.403,0.447,1.5,2.1,0.711,11.8,2004,0.0,2004-01-01
Nick Van Exel,4.8,12.3,0.39,1.2,3.8,0.307,3.6,8.4,0.429,0.438,1.8,2.5,0.707,12.6,2004,0.0,2004-01-01
Randy Breuer,2.1,4.1,0.511,0.0,0.0,0.0,2.1,4.1,0.511,0.511,1.1,1.6,0.701,5.3,1985,0.0,1985-01-01
Terry Cummings,9.6,19.4,0.495,0.0,0.0,0.0,9.6,19.4,0.496,0.495,4.3,5.9,0.741,23.6,1985,138.0,1985-01-01
Charles Davis,2.5,5.8,0.43,0.0,0.2,0.1,2.5,5.7,0.439,0.431,0.8,1.0,0.823,5.9,1985,0.0,1985-01-01
Mike Dunleavy,3.4,7.1,0.474,0.8,2.5,0.34,2.5,4.6,0.545,0.533,1.3,1.5,0.862,8.9,1985,0.0,1985-01-01
Mike Dunleavy,3.4,7.1,0.474,0.8,2.5,0.34,2.5,4.6,0.545,0.533,1.3,1.5,0.862,8.9,1985,0.0,1985-01-01
Chris Engler,0.7,1.8,0.4,0.0,0.0,0.0,0.7,1.8,0.4,0.4,0.5,0.8,0.556,1.9,1985,0.0,1985-01-01
Kenny Fields,1.6,3.7,0.44,0.0,0.0,0.0,1.6,3.7,0.44,0.44,0.5,0.7,0.75,3.8,1985,0.0,1985-01-01
Kevin Grevey,2.4,5.4,0.448,0.1,0.4,0.242,2.3,5.0,0.465,0.458,1.1,1.4,0.822,6.1,1985,0.0,1985-01-01
Craig Hodges,4.4,8.9,0.49,0.6,1.6,0.348,3.8,7.3,0.523,0.523,1.3,1.6,0.815,10.6,1985,0.0,1985-01-01
Alton Lister,4.0,7.4,0.538,0.0,0.0,0.0,4.0,7.4,0.539,0.538,1.9,3.2,0.588,9.9,1985,0.0,1985-01-01
Paul Mokeski,2.6,5.4,0.478,0.0,0.0,0.0,2.6,5.4,0.48,0.478,1.0,1.5,0.698,6.2,1985,0.0,1985-01-01
Sidney Moncrief,7.7,15.9,0.483,0.1,0.5,0.273,7.6,15.5,0.489,0.487,6.2,7.5,0.828,21.7,1985,65.0,1985-01-01
Ricky Pierce,3.8,7.0,0.537,0.0,0.1,0.25,3.7,6.9,0.541,0.539,2.3,2.8,0.823,9.8,1985,0.0,1985-01-01
Paul Pressey,6.0,11.6,0.517,0.1,0.3,0.35,5.9,11.4,0.521,0.521,4.0,5.2,0.758,16.1,1985,3.0,1985-01-01
Paul Thompson,3.9,9.4,0.412,0.1,0.6,0.2,3.7,8.8,0.427,0.418,1.4,1.8,0.793,9.2,1985,0.0,1985-01-01
Randy Breuer,3.3,7.0,0.477,0.0,0.0,0.0,3.3,6.9,0.478,0.477,1.7,2.4,0.712,8.4,1986,0.0,1986-01-01
Terry Cummings,8.3,17.5,0.474,0.0,0.0,0.0,8.3,17.5,0.474,0.474,3.2,4.9,0.656,19.8,1986,9.0,1986-01-01
Charles Davis,3.3,7.0,0.474,0.1,0.4,0.125,3.2,6.5,0.496,0.477,1.1,1.3,0.813,7.7,1986,0.0,1986-01-01
Kenny Fields,2.6,5.1,0.513,0.0,0.1,0.0,2.6,5.1,0.518,0.513,1.2,1.7,0.689,6.4,1986,0.0,1986-01-01
Mike Glenn,2.5,5.0,0.495,0.0,0.0,0.0,2.5,5.0,0.495,0.495,1.2,1.3,0.959,6.2,1986,0.0,1986-01-01
Craig Hodges,4.3,8.6,0.5,1.1,2.5,0.451,3.2,6.2,0.52,0.564,1.1,1.3,0.872,10.8,1986,0.0,1986-01-01
Earl Jones,0.4,1.0,0.417,0.0,0.0,0.0,0.4,1.0,0.417,0.417,0.3,0.3,0.75,1.1,1986,0.0,1986-01-01
Alton Lister,3.9,7.1,0.551,0.0,0.0,0.0,3.9,7.1,0.553,0.551,2.0,3.3,0.602,9.8,1986,0.0,1986-01-01
Paul Mokeski,1.3,3.1,0.424,0.0,0.0,0.0,1.3,3.1,0.424,0.424,0.6,0.8,0.735,3.2,1986,0.0,1986-01-01
Sidney Moncrief,6.4,13.2,0.489,0.5,1.4,0.32,6.0,11.8,0.509,0.506,6.8,7.9,0.859,20.2,1986,56.0,1986-01-01
Ricky Pierce,5.3,9.9,0.538,0.0,0.3,0.13,5.3,9.6,0.55,0.539,3.3,3.8,0.858,13.9,1986,0.0,1986-01-01
Paul Pressey,5.1,10.5,0.488,0.1,0.6,0.182,5.0,10.0,0.504,0.492,4.0,4.9,0.806,14.3,1986,3.0,1986-01-01
Jerry Reynolds,1.3,2.9,0.444,0.0,0.0,0.5,1.3,2.9,0.444,0.448,1.1,1.9,0.558,3.7,1986,0.0,1986-01-01
Derrick Rowland,0.5,1.5,0.333,0.0,0.0,0.0,0.5,1.5,0.333,0.333,0.5,1.0,0.5,1.5,1986,0.0,1986-01-01
Randy Breuer,4.8,9.7,0.495,0.0,0.0,0.0,4.8,9.7,0.495,0.495,2.3,3.5,0.657,12.0,1988,0.0,1988-01-01
Terry Cummings,8.9,18.3,0.485,0.0,0.0,0.333,8.9,18.3,0.485,0.485,3.6,5.3,0.665,21.3,1988,0.0,1988-01-01
Jay Humphries,4.2,7.9,0.528,0.0,0.3,0.167,4.1,7.6,0.54,0.531,1.6,2.3,0.732,10.0,1988,0.0,1988-01-01
Larry Krystkowiak,2.6,5.3,0.481,0.0,0.1,0.0,2.6,5.3,0.487,0.481,2.1,2.5,0.811,7.2,1988,0.0,1988-01-01
John Lucas,3.5,7.8,0.445,0.6,1.9,0.338,2.8,5.9,0.479,0.486,1.6,2.0,0.802,9.2,1988,0.0,1988-01-01
Pace Mannion,1.4,3.4,0.407,0.1,0.3,0.167,1.3,3.0,0.434,0.415,0.7,1.1,0.676,3.5,1988,0.0,1988-01-01
Paul Mokeski,1.7,3.5,0.476,0.0,0.1,0.0,1.7,3.4,0.485,0.476,0.9,1.2,0.708,4.2,1988,0.0,1988-01-01
Sidney Moncrief,3.9,7.9,0.489,0.1,0.6,0.161,3.8,7.4,0.513,0.494,2.9,3.5,0.837,10.8,1988,0.0,1988-01-01
Andre Moore,0.9,2.7,0.333,0.0,0.0,0.0,0.9,2.7,0.333,0.333,0.6,0.8,0.75,2.4,1988,0.0,1988-01-01
Ricky Pierce,6.7,13.1,0.51,0.1,0.4,0.214,6.6,12.8,0.519,0.513,2.9,3.3,0.877,16.4,1988,0.0,1988-01-01
Paul Pressey,4.6,9.4,0.491,0.1,0.5,0.205,4.5,8.8,0.508,0.497,3.8,4.8,0.798,13.1,1988,0.0,1988-01-01
Jerry Reynolds,3.0,6.8,0.449,0.0,0.1,0.429,3.0,6.6,0.449,0.452,1.9,2.5,0.773,8.0,1988,0.0,1988-01-01
Jack Sikma,6.3,12.9,0.486,0.0,0.2,0.214,6.2,12.7,0.489,0.487,3.9,4.2,0.922,16.5,1988,0.0,1988-01-01
John Stroeder,0.7,1.9,0.367,0.0,0.0,0.0,0.7,1.9,0.377,0.367,0.5,0.7,0.667,1.9,1988,0.0,1988-01-01
Rickie Winslow,0.4,1.9,0.231,0.0,0.1,0.0,0.4,1.7,0.25,0.231,0.1,0.3,0.5,1.0,1988,0.0,1988-01-01
Randy Breuer,1.8,3.7,0.48,0.0,0.0,0.0,1.8,3.7,0.48,0.48,0.6,1.1,0.549,4.2,1989,0.0,1989-01-01
Tony Brown,1.2,2.7,0.424,0.1,0.4,0.25,1.1,2.4,0.451,0.441,0.6,0.7,0.774,3.0,1989,0.0,1989-01-01
Terry Cummings,9.1,19.5,0.467,0.1,0.2,0.467,9.0,19.4,0.467,0.469,4.5,5.8,0.787,22.9,1989,1.0,1989-01-01
Mark Davis,1.5,3.1,0.48,0.0,0.3,0.1,1.5,2.8,0.522,0.485,0.8,1.0,0.824,3.8,1989,0.0,1989-01-01
Mark Davis,1.5,3.1,0.48,0.0,0.3,0.1,1.5,2.8,0.522,0.485,0.8,1.0,0.824,3.8,1989,0.0,1989-01-01
Mike Dunleavy,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.5,1989,0.0,1989-01-01
Mike Dunleavy,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.5,1989,0.0,1989-01-01
Jeff Grayer,2.9,6.6,0.438,0.0,0.2,0.0,2.9,6.5,0.451,0.438,1.5,1.8,0.85,7.4,1989,0.0,1989-01-01
Rickey Green,2.0,4.2,0.489,0.0,0.2,0.273,2.0,4.0,0.498,0.494,0.5,0.5,0.909,4.6,1989,0.0,1989-01-01
Tito Horford,0.6,1.8,0.326,0.0,0.0,0.0,0.6,1.8,0.326,0.326,0.5,0.8,0.632,1.7,1989,0.0,1989-01-01
Jay Humphries,4.7,9.8,0.483,0.3,1.3,0.266,4.4,8.5,0.516,0.501,1.8,2.2,0.816,11.6,1989,0.0,1989-01-01
Larry Krystkowiak,4.5,9.6,0.473,0.1,0.2,0.333,4.5,9.4,0.475,0.475,3.6,4.4,0.823,12.7,1989,0.0,1989-01-01
Paul Mokeski,0.8,2.2,0.36,0.1,0.4,0.269,0.7,1.9,0.377,0.381,0.5,0.7,0.784,2.2,1989,0.0,1989-01-01
Sidney Moncrief,4.2,8.6,0.491,0.4,1.2,0.342,3.8,7.4,0.514,0.514,3.3,3.8,0.865,12.1,1989,0.0,1989-01-01
Ricky Pierce,7.0,13.6,0.518,0.1,0.5,0.222,6.9,13.1,0.529,0.522,3.4,4.0,0.859,17.6,1989,0.0,1989-01-01
Paul Pressey,4.6,9.7,0.474,0.2,0.8,0.218,4.4,8.9,0.497,0.483,2.8,3.6,0.776,12.1,1989,0.0,1989-01-01
Fred Roberts,2.2,4.5,0.486,0.0,0.2,0.214,2.1,4.3,0.498,0.491,1.5,1.8,0.806,5.9,1989,0.0,1989-01-01
Jack Sikma,4.5,10.4,0.431,1.0,2.7,0.38,3.5,7.7,0.449,0.48,3.3,3.7,0.905,13.4,1989,0.0,1989-01-01
Andre Turner,0.8,1.5,0.5,0.0,0.0,0.0,0.8,1.5,0.5,0.5,0.0,0.0,0.0,1.5,1989,0.0,1989-01-01
Randy Breuer,2.7,6.0,0.453,0.0,0.0,0.0,2.7,6.0,0.453,0.453,0.5,1.1,0.443,5.9,1991,0.0,1991-01-01
Scott Brooks,2.0,4.6,0.43,0.6,1.7,0.333,1.4,2.9,0.485,0.491,0.8,0.9,0.847,5.3,1991,0.0,1991-01-01
Tony Campbell,8.5,19.5,0.434,0.2,0.8,0.262,8.3,18.7,0.441,0.439,4.6,5.8,0.803,21.8,1991,0.0,1991-01-01
Richard Coffey,0.5,1.4,0.373,0.0,0.0,0.0,0.5,1.4,0.378,0.373,0.2,0.4,0.545,1.3,1991,0.0,1991-01-01
Tyrone Corbin,7.2,16.0,0.448,0.0,0.1,0.2,7.1,15.9,0.45,0.449,3.6,4.5,0.798,18.0,1991,0.0,1991-01-01
Gerald Glass,2.9,6.7,0.438,0.0,0.3,0.118,2.9,6.3,0.455,0.441,1.0,1.5,0.684,6.9,1991,0.0,1991-01-01
Dan Godfread,0.5,1.2,0.417,0.0,0.1,0.0,0.5,1.1,0.455,0.417,0.3,0.4,0.75,1.3,1991,0.0,1991-01-01
Sam Mitchell,5.4,12.3,0.441,0.0,0.1,0.0,5.4,12.2,0.445,0.441,3.7,4.8,0.775,14.6,1991,0.0,1991-01-01
Tod Murphy,1.7,4.4,0.396,0.0,0.3,0.059,1.7,4.0,0.424,0.399,1.3,2.0,0.667,4.8,1991,0.0,1991-01-01
Pooh Richardson,7.7,16.5,0.47,0.5,1.6,0.328,7.2,14.9,0.485,0.486,1.1,2.0,0.539,17.1,1991,0.0,1991-01-01
Felton Spencer,2.4,4.7,0.512,0.0,0.0,0.0,2.4,4.7,0.513,0.512,2.2,3.1,0.722,7.1,1991,0.0,1991-01-01
Jim Thomas,0.3,1.3,0.25,0.0,0.0,0.0,0.3,1.3,0.25,0.25,0.0,0.0,0.0,0.7,1991,0.0,1991-01-01
Bob Thornton,0.3,1.1,0.308,0.0,0.0,0.0,0.3,1.1,0.308,0.308,0.7,0.8,0.8,1.3,1991,0.0,1991-01-01
Doug West,1.6,3.3,0.48,0.0,0.0,0.0,1.6,3.3,0.482,0.48,0.8,1.1,0.69,3.9,1991,0.0,1991-01-01
Randy Breuer,0.3,1.0,0.308,0.0,0.0,0.0,0.3,1.0,0.32,0.308,0.1,0.5,0.214,0.7,1994,0.0,1994-01-01
Randy Brown,1.8,4.1,0.438,0.0,0.1,0.0,1.8,4.0,0.445,0.438,0.9,1.4,0.609,4.5,1994,0.0,1994-01-01
Evers Burns,1.0,2.4,0.4,0.0,0.0,0.0,1.0,2.4,0.4,0.4,0.5,1.0,0.522,2.4,1994,0.0,1994-01-01
Duane Causwell,1.7,3.3,0.518,0.0,0.0,0.0,1.7,3.3,0.518,0.518,1.0,1.7,0.588,4.4,1994,0.0,1994-01-01
Bobby Hurley,2.8,7.7,0.37,0.1,0.8,0.125,2.7,6.8,0.4,0.377,1.3,1.6,0.8,7.1,1994,0.0,1994-01-01
Jim Les,0.7,1.9,0.382,0.4,1.0,0.444,0.3,0.9,0.313,0.5,0.6,0.7,0.846,2.5,1994,0.0,1994-01-01
Mike Peplowski,1.4,2.6,0.539,0.0,0.0,0.0,1.4,2.5,0.543,0.539,0.4,0.8,0.545,3.2,1994,0.0,1994-01-01
Olden Polynice,5.1,9.7,0.523,0.0,0.0,0.0,5.1,9.7,0.524,0.523,1.4,2.8,0.508,11.6,1994,0.0,1994-01-01
Mitch Richmond,8.1,18.3,0.445,1.6,4.0,0.407,6.5,14.3,0.455,0.489,5.5,6.6,0.834,23.4,1994,0.0,1994-01-01
Lionel Simmons,5.8,13.3,0.438,0.1,0.2,0.353,5.7,13.1,0.439,0.441,3.3,4.3,0.777,15.1,1994,0.0,1994-01-01
Labradford Smith,1.9,4.6,0.405,0.3,0.9,0.35,1.6,3.7,0.419,0.44,1.0,1.3,0.75,5.0,1994,0.0,1994-01-01
Andre Spencer,1.9,4.2,0.441,0.0,0.0,0.0,1.9,4.2,0.441,0.441,2.0,2.8,0.714,5.7,1994,0.0,1994-01-01
Wayman Tisdale,7.0,13.9,0.501,0.0,0.0,0.0,7.0,13.9,0.501,0.501,2.7,3.4,0.808,16.7,1994,0.0,1994-01-01
Spud Webb,4.7,10.3,0.46,0.7,2.1,0.335,4.0,8.2,0.492,0.494,2.6,3.2,0.813,12.7,1994,0.0,1994-01-01
Walt Williams,4.0,10.2,0.39,0.7,2.3,0.288,3.3,7.9,0.42,0.422,2.6,4.1,0.635,11.2,1994,0.0,1994-01-01
Trevor Wilson,3.3,6.8,0.482,0.0,0.0,0.0,3.3,6.8,0.484,0.482,1.6,2.9,0.554,8.2,1994,0.0,1994-01-01
Corey Brewer,2.3,6.2,0.374,0.1,0.5,0.194,2.2,5.7,0.389,0.382,1.1,1.4,0.8,5.8,2008,0.0,2008-01-01
Greg Buckner,1.5,3.8,0.385,0.5,1.6,0.3,1.0,2.2,0.448,0.449,0.6,0.7,0.864,4.0,2008,0.0,2008-01-01
Michael Doleac,1.2,2.6,0.444,0.0,0.0,0.0,1.2,2.6,0.444,0.444,0.0,0.1,0.5,2.4,2008,0.0,2008-01-01
Randy Foye,5.1,11.8,0.429,1.6,3.8,0.412,3.5,8.1,0.436,0.495,1.4,1.7,0.815,13.1,2008,0.0,2008-01-01
Ryan Gomes,4.8,10.5,0.457,0.7,2.2,0.33,4.1,8.3,0.491,0.492,2.3,2.8,0.83,12.6,2008,0.0,2008-01-01
Marko Jarić,3.0,7.0,0.43,0.6,1.7,0.362,2.4,5.3,0.451,0.473,1.6,2.2,0.742,8.3,2008,0.0,2008-01-01
Al Jefferson,8.8,17.6,0.5,0.0,0.1,0.0,8.8,17.5,0.502,0.5,3.5,4.8,0.721,21.0,2008,0.0,2008-01-01
Mark Madsen,0.2,1.0,0.158,0.0,0.0,0.0,0.2,1.0,0.158,0.158,0.2,0.6,0.25,0.5,2008,0.0,2008-01-01
Rashad Mccants,5.7,12.6,0.453,1.9,4.7,0.407,3.8,7.9,0.481,0.529,1.5,2.1,0.748,14.9,2008,0.0,2008-01-01
Chris Richard,0.8,1.7,0.471,0.0,0.0,0.0,0.8,1.7,0.471,0.471,0.3,0.5,0.593,1.9,2008,0.0,2008-01-01
Craig Smith,3.9,6.9,0.563,0.0,0.1,0.0,3.9,6.7,0.572,0.563,1.7,2.6,0.665,9.4,2008,0.0,2008-01-01
Kirk Snyder,2.7,5.3,0.508,0.1,0.6,0.217,2.5,4.6,0.548,0.521,1.8,2.4,0.727,7.3,2008,0.0,2008-01-01
Sebastian Telfair,3.7,9.3,0.401,0.5,1.9,0.281,3.2,7.4,0.432,0.43,1.3,1.8,0.743,9.3,2008,0.0,2008-01-01
Antoine Walker,3.0,8.2,0.363,1.3,4.1,0.324,1.6,4.1,0.401,0.444,0.8,1.4,0.53,8.0,2008,0.0,2008-01-01
Corey Brewer,2.5,6.0,0.411,0.3,0.8,0.417,2.1,5.2,0.41,0.439,0.9,1.3,0.737,6.2,2009,0.0,2009-01-01
Bobby Brown,2.1,5.3,0.392,0.7,1.9,0.346,1.4,3.4,0.417,0.454,0.5,0.6,0.791,5.3,2009,0.0,2009-01-01
Brian Cardinal,1.0,2.6,0.385,0.5,1.4,0.326,0.5,1.2,0.455,0.473,0.5,0.5,0.857,3.0,2009,0.0,2009-01-01
Rodney Carney,2.6,6.3,0.416,1.2,3.4,0.35,1.4,2.9,0.492,0.509,0.7,1.0,0.758,7.2,2009,0.0,2009-01-01
Jason Collins,0.7,2.3,0.314,0.0,0.0,0.0,0.7,2.3,0.314,0.314,0.4,0.9,0.464,1.8,2009,0.0,2009-01-01
Randy Foye,5.7,14.0,0.407,1.6,4.4,0.36,4.1,9.6,0.428,0.463,3.3,3.9,0.846,16.3,2009,0.0,2009-01-01
Ryan Gomes,5.1,11.9,0.431,1.3,3.5,0.372,3.8,8.4,0.456,0.486,1.8,2.2,0.807,13.3,2009,0.0,2009-01-01
Al Jefferson,9.7,19.5,0.497,0.0,0.1,0.0,9.7,19.4,0.499,0.497,3.7,5.0,0.738,23.1,2009,0.0,2009-01-01
Kevin Love,3.9,8.5,0.459,0.0,0.2,0.105,3.9,8.3,0.469,0.461,3.3,4.1,0.789,11.1,2009,0.0,2009-01-01
Mark Madsen,0.2,0.7,0.214,0.0,0.0,0.0,0.2,0.7,0.214,0.214,0.0,0.2,0.0,0.3,2009,0.0,2009-01-01
Mike Miller,3.6,7.5,0.482,1.2,3.1,0.378,2.5,4.4,0.554,0.559,1.5,2.0,0.732,9.9,2009,0.0,2009-01-01
Kevin Ollie,1.2,3.0,0.407,0.0,0.0,0.0,1.2,3.0,0.409,0.407,1.6,1.9,0.833,4.0,2009,0.0,2009-01-01
Craig Smith,3.9,6.9,0.562,0.0,0.0,0.0,3.9,6.9,0.563,0.562,2.3,3.4,0.677,10.1,2009,0.0,2009-01-01
Sebastian Telfair,3.6,9.3,0.383,1.0,2.8,0.346,2.6,6.5,0.399,0.435,1.7,2.1,0.819,9.8,2009,0.0,2009-01-01
Shelden Williams,1.6,3.5,0.446,0.0,0.0,0.0,1.6,3.4,0.452,0.446,1.0,1.4,0.73,4.1,2009,0.0,2009-01-01
Corey Brewer,5.0,11.6,0.431,1.0,2.9,0.346,4.0,8.7,0.459,0.474,2.0,3.1,0.648,13.0,2010,0.0,2010-01-01
Brian Cardinal,0.5,1.2,0.389,0.1,0.3,0.333,0.4,0.9,0.407,0.431,0.6,0.6,0.944,1.7,2010,0.0,2010-01-01
Wayne Ellington,2.5,5.9,0.424,0.8,2.1,0.395,1.7,3.8,0.441,0.496,0.8,0.9,0.871,6.6,2010,0.0,2010-01-01
Jonny Flynn,4.9,11.8,0.417,1.0,2.7,0.358,4.0,9.1,0.434,0.457,2.8,3.3,0.826,13.5,2010,0.0,2010-01-01
Ryan Gomes,4.3,9.6,0.447,1.0,2.6,0.372,3.3,7.0,0.475,0.497,1.4,1.7,0.825,10.9,2010,0.0,2010-01-01
Ryan Hollins,2.3,4.2,0.558,0.0,0.0,0.0,2.3,4.1,0.56,0.558,1.5,2.2,0.69,6.1,2010,0.0,2010-01-01
Nathan Jawai,1.3,2.8,0.441,0.0,0.0,0.0,1.3,2.8,0.445,0.441,0.7,1.0,0.684,3.2,2010,0.0,2010-01-01
Al Jefferson,7.4,14.8,0.498,0.0,0.1,0.0,7.4,14.8,0.5,0.498,2.4,3.5,0.68,17.1,2010,0.0,2010-01-01
Kevin Love,4.9,10.8,0.45,0.6,1.8,0.33,4.3,9.0,0.474,0.478,3.8,4.6,0.815,14.0,2010,0.0,2010-01-01
Darko Miličić,3.1,6.4,0.49,0.0,0.0,0.0,3.1,6.3,0.493,0.49,0.5,0.9,0.536,6.7,2010,0.0,2010-01-01
Sasha Pavlović,1.5,4.2,0.363,0.5,1.7,0.297,1.0,2.6,0.407,0.422,0.1,0.4,0.385,3.7,2010,0.0,2010-01-01
Oleksiy Pecherov,1.8,4.3,0.41,0.3,1.2,0.269,1.4,3.1,0.463,0.447,0.7,0.7,0.906,4.5,2010,0.0,2010-01-01
Ramon Sessions,3.1,6.8,0.456,0.0,0.2,0.067,3.1,6.6,0.467,0.457,2.0,2.8,0.717,8.2,2010,0.0,2010-01-01
Alando Tucker,1.1,2.6,0.436,0.1,0.5,0.143,1.1,2.1,0.5,0.449,1.1,1.4,0.762,3.4,2010,0.0,2010-01-01
Damien Wilkins,2.1,4.8,0.433,0.2,0.8,0.295,1.8,4.0,0.459,0.457,1.3,1.6,0.798,5.6,2010,0.0,2010-01-01
Corey Brewer,4.6,10.8,0.425,1.1,3.7,0.296,3.5,7.0,0.493,0.476,1.8,2.6,0.69,12.1,2013,0.0,2013-01-01
Wilson Chandler,4.9,10.6,0.462,1.2,2.9,0.413,3.7,7.7,0.48,0.519,2.0,2.6,0.793,13.0,2013,0.0,2013-01-01
Kenneth Faried,4.8,8.6,0.552,0.0,0.0,0.0,4.8,8.6,0.552,0.552,2.0,3.3,0.613,11.5,2013,0.0,2013-01-01
Evan Fournier,2.0,4.0,0.493,0.6,1.4,0.407,1.4,2.6,0.541,0.566,0.8,1.0,0.769,5.3,2013,0.0,2013-01-01
