Player,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,PTS,Year,Pts Won,season_date
Rodney Rogers,4.7,9.6,0.488,0.6,1.9,0.338,4.1,7.8,0.523,0.52,2.2,3.4,0.651,12.2,1995,0.0,1995-01-01
Jalen Rose,2.8,6.2,0.454,0.4,1.4,0.316,2.4,4.8,0.495,0.49,2.1,2.9,0.739,8.2,1995,0.0,1995-01-01
Reggie Slater,1.6,3.2,0.494,0.0,0.0,0.0,1.6,3.2,0.494,0.494,1.6,2.2,0.727,4.8,1995,0.0,1995-01-01
Bryant Stith,3.9,8.2,0.472,0.2,0.8,0.294,3.6,7.3,0.492,0.487,3.3,4.0,0.824,11.2,1995,0.0,1995-01-01
Reggie Williams,5.2,11.4,0.459,1.1,3.6,0.32,4.1,7.8,0.522,0.509,1.8,2.4,0.759,13.4,1995,0.0,1995-01-01
Reggie Williams,5.2,11.4,0.459,1.1,3.6,0.32,4.1,7.8,0.522,0.509,1.8,2.4,0.759,13.4,1995,0.0,1995-01-01
Mahmoud Abdul-Rauf,7.3,16.8,0.434,2.1,5.4,0.392,5.1,11.3,0.454,0.497,2.6,2.8,0.93,19.2,1996,0.0,1996-01-01
Rastko Cvetković,0.4,1.1,0.313,0.0,0.1,0.0,0.4,1.1,0.333,0.313,0.0,0.3,0.0,0.7,1996,0.0,1996-01-01
Dale Ellis,5.7,11.8,0.479,1.9,4.5,0.412,3.8,7.3,0.519,0.557,1.7,2.2,0.76,14.9,1996,0.0,1996-01-01
Laphonso Ellis,4.2,9.6,0.438,0.1,0.5,0.182,4.1,9.1,0.451,0.442,2.0,3.3,0.601,10.5,1996,0.0,1996-01-01
Matt Fish,1.2,2.0,0.583,0.0,0.0,0.0,1.2,2.0,0.583,0.583,0.6,1.1,0.526,2.9,1996,0.0,1996-01-01
Greg Grant,1.1,3.2,0.354,0.3,1.1,0.235,0.9,2.1,0.415,0.394,0.2,0.2,0.833,2.7,1996,0.0,1996-01-01
Tom Hammonds,1.8,3.8,0.474,0.0,0.0,0.0,1.8,3.8,0.474,0.474,1.2,1.6,0.765,4.8,1996,0.0,1996-01-01
Don Maclean,4.2,9.8,0.426,0.3,0.9,0.286,3.9,8.9,0.44,0.439,2.6,3.5,0.732,11.2,1996,0.0,1996-01-01
Antonio Mcdyess,5.6,11.6,0.485,0.0,0.1,0.0,5.6,11.5,0.487,0.485,2.2,3.2,0.683,13.4,1996,0.0,1996-01-01
Dikembe Mutombo,3.8,7.7,0.499,0.0,0.0,0.0,3.8,7.7,0.5,0.499,3.3,4.8,0.695,11.0,1996,0.0,1996-01-01
Doug Overton,1.2,3.2,0.376,0.1,0.5,0.308,1.1,2.8,0.388,0.399,0.7,1.0,0.727,3.3,1996,0.0,1996-01-01
Jalen Rose,3.6,7.6,0.48,0.4,1.4,0.296,3.2,6.2,0.52,0.507,2.4,3.5,0.69,10.0,1996,0.0,1996-01-01
Bryant Stith,4.6,11.1,0.416,0.5,1.8,0.277,4.1,9.3,0.443,0.439,3.9,4.6,0.844,13.6,1996,0.0,1996-01-01
Reggie Williams,1.8,4.9,0.37,0.4,1.7,0.225,1.4,3.2,0.448,0.409,0.6,0.8,0.846,4.6,1996,0.0,1996-01-01
Reggie Williams,1.8,4.9,0.37,0.4,1.7,0.225,1.4,3.2,0.448,0.409,0.6,0.8,0.846,4.6,1996,0.0,1996-01-01
Randy Woods,0.8,2.8,0.273,0.6,2.6,0.238,0.1,0.1,1.0,0.386,0.3,0.3,1.0,2.4,1996,0.0,1996-01-01
Mahmoud Abdul-Rauf,5.5,12.3,0.445,1.3,3.3,0.382,4.2,9.0,0.468,0.496,1.5,1.8,0.846,13.7,1997,0.0,1997-01-01
Duane Causwell,1.0,2.0,0.511,0.0,0.1,0.667,1.0,2.0,0.505,0.521,0.4,0.8,0.541,2.6,1997,0.0,1997-01-01
Tyus Edney,2.1,5.6,0.384,0.1,0.6,0.19,2.0,5.0,0.407,0.394,2.5,3.1,0.823,6.9,1997,0.0,1997-01-01
Kevin Gamble,2.0,4.6,0.43,0.9,1.8,0.482,1.1,2.8,0.397,0.524,0.1,0.2,0.7,5.0,1997,0.0,1997-01-01
Brian Grant,3.8,8.6,0.44,0.0,0.0,0.0,3.8,8.6,0.44,0.44,2.9,3.8,0.778,10.5,1997,0.0,1997-01-01
Jeff Grayer,1.5,3.3,0.458,0.2,0.4,0.364,1.4,2.9,0.472,0.482,0.4,0.8,0.55,3.6,1997,0.0,1997-01-01
Bobby Hurley,0.9,2.6,0.368,0.3,0.9,0.311,0.7,1.6,0.4,0.424,0.8,1.1,0.698,2.9,1997,0.0,1997-01-01
Billy Owens,4.5,9.7,0.467,0.4,1.1,0.347,4.2,8.6,0.482,0.487,1.5,2.2,0.697,11.0,1997,0.0,1997-01-01
Olden Polynice,5.4,11.8,0.457,0.0,0.1,0.0,5.4,11.7,0.46,0.457,1.7,3.1,0.562,12.5,1997,0.0,1997-01-01
Mitch Richmond,8.9,19.5,0.454,2.5,5.9,0.428,6.3,13.6,0.466,0.519,5.6,6.6,0.861,25.9,1997,4.0,1997-01-01
Kevin Salvadori,0.5,1.4,0.364,0.0,0.0,0.0,0.5,1.4,0.364,0.364,0.6,0.8,0.722,1.6,1997,0.0,1997-01-01
Lionel Simmons,1.1,3.3,0.331,0.2,0.7,0.233,0.9,2.6,0.358,0.357,1.0,1.2,0.875,3.4,1997,0.0,1997-01-01
Michael Smith,2.5,4.6,0.539,0.0,0.0,0.0,2.5,4.6,0.539,0.539,1.6,3.2,0.496,6.6,1997,0.0,1997-01-01
Michael Smith,2.5,4.6,0.539,0.0,0.0,0.0,2.5,4.6,0.539,0.539,1.6,3.2,0.496,6.6,1997,0.0,1997-01-01
